COM,score_gauche_2014,score_gauche_2020,score_gauche_pres_2017,score_gauche_pres_2022,delta_score_gauche_pres,delta_score_gauche_municipales,pop_2014,pop_2017,pop_2020,pop_2022,log_pop_2014,log_pop_2020,log_pop_2017,log_pop_2022,croissance_pop_14_20,croissance_pop_17_22,pct_sup_2014,pct_sup_2017,pct_sup_2020,pct_sup_2022,delta_pct_diplome_17_22,delta_pct_diplome_14_20,pct_cadres_2014,pct_cadres_2017,pct_cadres_2020,pct_cadres_2022,delta_pct_cadres_17_22,delta_pct_cadres_14_20,med_2013,med_2019,med_2016,log_med_16,log_med_13,log_med_19
22362,57.55,0.0,34.24,37.79,3.549999999999997,-57.55,2473.0,2419.00000000001,2411.0,2349.0,7.813187267521416,7.787796878181171,7.791109510610031,7.761744984658913,-0.02539038934024518,-0.02936452595111838,0.14070068729809543,0.2403966220411329,0.24075865601112031,0.1996207053983559,-0.040775916642776994,0.10005796871302489,0.03018328992807158,0.031263187811814336,0.03116497026456429,0.04268445433980502,0.011421266527990685,0.0009816803364927108,18178.2608695652,18920.0,18506.0,9.825850282808975,9.807981701415505,9.847974842605868
22379,51.17,0.0,34.269999999999996,40.239999999999995,5.969999999999999,-51.17,1311.0,1387.0,1522.0,1581.0,7.1785454837637,7.3277805384216315,7.234898420314831,7.365812837209472,0.14923505465793152,0.13091441689464123,0.2379862700228833,0.30908330539700213,0.30897318292934955,0.30789351584210123,-0.0011897895549008997,0.07098691290646625,0.06864988558352403,0.09984589794809084,0.09862016943608147,0.10562070894007274,0.005774810991981891,0.02997028385255744,22284.8484848485,24060.0,22441.33333333333,10.018659775577946,10.01166228638283,10.08830598952867
23008,0.0,41.33,34.83,37.22,2.3900000000000006,41.33,3590.999999999992,3366.0,3181.0,3036.0,8.186185994226081,8.064950891749143,8.121480374750751,8.01829613851552,-0.12123510247693758,-0.1031842362352311,0.1474452880321834,0.1484843854175009,0.1750455322000861,0.1772068511198946,0.0287224657023937,0.027600244167902688,0.0353502176613029,0.03569423580394522,0.05325421153244499,0.05597469601514095,0.020280460211195728,0.01790399387114209,16755.0,18370.0,16966.5,9.738996090639546,9.726452000171411,9.818474178209172
23030,68.50999999999999,0.0,34.919999999999995,27.810000000000002,-7.109999999999992,-68.50999999999999,2725.0,2572.0,2462.0,2408.0,7.9102237070973445,7.808729306744399,7.85243908535751,7.786551806428712,-0.10149440035294521,-0.06588727892879831,0.09150008761245468,0.14239550326360753,0.14228991955803047,0.12819055281893757,-0.014204950444669961,0.05078983194557579,0.019035356901093026,0.008003227623074883,0.008268448825721406,0.030043756904538622,0.022040529281463737,-0.01076690807537162,15560.0,17420.0,16204.285714285714,9.693031036497775,9.652458797732383,9.765374250406493
23096,54.45,56.55,37.54,38.38,0.8400000000000034,2.0999999999999943,13341.999999999998,13161.0,12697.99999999999,12814.0,9.49867223326946,9.449199779730394,9.485013189834323,9.458293602198967,-0.0494724535390656,-0.026719587635355424,0.16739252537127347,0.1919091071159844,0.21432556790441573,0.21431916737190135,0.022410060255916936,0.04693304253314226,0.052478872610720824,0.06003384514998838,0.05925257712423449,0.05576498246488669,-0.004268862685101689,0.0067737045135136675,18670.5,20270.0,19344.78260869565,9.870178029474967,9.834700017109142,9.916897239446046
23193,55.01,0.0,32.32,31.169999999999998,-1.1500000000000021,-55.01,2470.000000000006,2471.99999999999,2493.0,2531.0,7.811973429622025,7.821242083523558,7.812782818577578,7.836369760545124,0.009268653901532531,0.023586941967546515,0.1923527285774911,0.21749740261028258,0.21771803238618467,0.2336361399633635,0.016138737353080912,0.025365303808693562,0.050710648397979986,0.05886122369676763,0.058760835862056965,0.06248399494705137,0.003622771250283742,0.008050187464076979,21533.3333333333,22940.0,22313.5,10.012947155444872,9.977357401102582,10.040637390683361
24002,52.99,0.0,36.78,30.99,-5.790000000000003,-52.99,1746.0,1761.0,1791.0,1809.0,7.465082736399547,7.490529402060711,7.473637108496206,7.500529485395295,0.025446665661164047,0.026892376899088966,0.15979381443298968,0.18519103556556415,0.18517895733314088,0.18525282015515718,6.178458959302247e-05,0.025385142900151203,0.01718213058419244,0.05646296247682419,0.05644192107136795,0.056496982895541184,3.4020418716994294e-05,0.03925979048717551,20554.7619047619,21860.0,20809.565217391308,9.94316802620408,9.930847915940246,9.99241376173053
24026,64.66,0.0,34.95,31.310000000000002,-3.6400000000000006,-64.66,1831.0,4498.00000000001,4364.0,4365.0,7.5126175446745105,8.381144346952961,8.411388132519264,8.381373468273702,0.8685268022784509,-0.030014664245561207,0.18937453720256064,0.16990593346304875,0.19110907424381302,0.19160074007639816,0.02169480661334941,0.0017345370412523708,0.06805478479258247,0.048682910292954316,0.0423923006416132,0.04461873207097457,-0.004064178221979749,-0.025662484150969264,21317.3913043478,22050.0,20896.19047619048,9.947322147472518,9.967278511710173,10.001067880874992
24037,41.31,15.46,29.25,31.590000000000003,2.3400000000000034,-25.85,27764.0,26832.999999999996,26359.999999999996,26851.999999999996,10.231495496459475,10.179602988616443,10.197387752301138,10.198095585058642,-0.05189250784303212,0.0007078327575040788,0.1681585539802812,0.1958364313538613,0.20028454558670886,0.20904581615676787,0.013209384802906565,0.03212599160642765,0.037953087015120415,0.039716573939649405,0.03978192290290451,0.04377106845943632,0.004054494519786914,0.0018288358877840971,17853.0,19090.0,18146.666666666668,9.806242168097294,9.789926840312962,9.856919916719793
24067,42.21,0.0,28.999999999999996,27.2,-1.7999999999999972,-42.21,2704.0,2587.0,2595.0,2638.0,7.902487437162855,7.861341795599989,7.8582541821860294,7.87777633327726,-0.04114564156286615,0.019522151091230455,0.1113471070741947,0.13297255508310785,0.13305422247834367,0.16316302240275474,0.03019046731964689,0.021707115404148963,0.030987818576859918,0.017394665635871664,0.01747988526725403,0.0354923393431837,0.018097673707312037,-0.01350793330960589,18114.6666666667,19920.0,18737.61904761905,9.838288495832648,9.80447720220303,9.899479531138589
