COM,pop_2020,cadres_nb_2020,pop_2014,cadres_nb_2014,sup_nb_2020,sup_nb_2014,med_2019,med_2013,croissance_pop,pct_sup_2020,pct_sup_2014,delta_pct_diplome,pct_cadres_2020,pct_cadres_2014,delta_pct_cadres,log_med_13,log_med_19,score_gauche_2014,score_gauche_2020,delta_score_gauche
56214,-0.4704385510782017,-0.34168147836133944,-0.4676494917555315,-0.3467205407213909,-0.37337766420446683,-0.37133844616065365,1.7405941025978693,1.5350979302804064,-1.1436122163602542,1.0230737823822122,0.5286044385910786,2.5282727531881766,-0.7202635868861843,-0.7363637550508944,-0.1388267178405993,1.550012595159373,1.7097448885393725,0.4269070815916981,-0.7460139829843723,-0.756082884600819
56251,-0.25119047011425566,-0.20484480504903177,-0.2637167577486284,-0.2308438146371107,-0.18347068201846137,-0.20061200471911841,0.4948317132523789,0.44691715430661894,0.44660139640459706,0.6283221332219189,0.4875823221598498,0.8697231217471953,0.06272115139353661,-0.13592682181217677,0.7089054739957027,0.5427919022475833,0.5829421995537926,-1.447729514098521,-0.3216188461029022,0.6894543217913032
57017,-0.4532747051145331,-0.3217405487219584,-0.45044152317685204,-0.315946900199943,-0.37592462244624975,-0.3708549715143023,0.7630166720698108,0.5733639147739716,-0.8441038390307336,-0.14733502012629401,-0.22706980515847164,0.26863633951656796,-0.0792262219509988,0.2406049940169161,-1.1354786375781865,0.6681140995707457,0.8420060645271196,0.4806781271552434,-0.7460139829843723,-0.7895432795531095
57038,-0.2921912086966266,-0.2801848489430839,-0.30119484792192197,-0.288772558695349,-0.3060850335350857,-0.2946829886802508,0.5871104087594523,0.6695223150141253,0.3462944234687986,-0.8920512853147342,-0.6147444926658292,-1.559618975869372,-0.5940538414148341,-0.6227770036840343,-0.06070516460647445,0.761835623215026,0.6732154297116336,-1.447729514098521,2.915721451713385,2.8176798741164912
57058,-0.30941921857043975,-0.33030319870134073,-0.3039241582187343,-0.34451409698547986,-0.36890533253015806,-0.3681115301404609,-2.016879030080774,-1.8814145306453973,-0.3311725524182523,-1.9229634649255136,-1.8968537603842375,-0.9656494440329008,-1.1970473070877847,-1.3182526478786785,0.09825667123816206,-2.3375292381412023,-2.5029415198467313,0.29808867747183787,-0.7460139829843723,-0.6759223700748279
57153,-0.4506760667536786,-0.31120281084107393,-0.4493098579318325,-0.2968589084663146,-0.36067920656015984,-0.35542316203507157,1.048503886294819,1.008367300571767,-0.6109696088371938,0.6298462706035222,0.5452837247012171,0.6349142847822323,0.2998310956266223,0.9273969059562187,-2.1048083256343175,1.0817854421861097,1.1072186931181625,0.2783597326967239,-0.7460139829843723,-0.6636455345167931
57227,0.16982102629924498,-0.19071837764870933,0.19970016008687266,-0.15244588728829778,-0.08170961694515763,-0.03073643478865531,-1.4459046016307577,-1.3852071827852253,-0.3814640042154509,-0.9590146994497087,-0.7018288638559865,-1.505090175410261,-0.8606791183767061,-0.7429318974816334,-0.6430425783038286,-1.608493923174796,-1.6666583166382483,0.39866761161947634,-0.258270823082631,-0.41786810109025574
57269,-0.27659937853149963,-0.29202336730182366,-0.28535153449164896,-0.30800820227365905,-0.29336664626278275,-0.31365890682750414,-0.3039557447307249,-0.19965361476972793,0.319837062557705,-0.8134799383358418,-1.0723937988448466,0.7231290825043968,-0.7941923007855635,-0.909739673372901,0.18756339391775315,-0.13848164571246904,-0.2538283302202533,-1.447729514098521,0.5740416412241691,1.2782609840452799
57306,-0.007110955924366822,-0.21945260080807802,0.0005603612353461762,-0.2366745546997358,-0.16573197150485863,-0.15686649964641264,-0.36162992942264577,-0.3279898260106817,-0.11946104278142279,-0.9326884461370235,-0.8456316230449703,-0.7802106908762404,-0.7844488697848891,-0.8824127104251875,0.128952863709513,-0.2825736819688788,-0.31848344747902724,-0.39435859992921296,-0.7460139829843723,-0.24502951421439506
57323,-0.27149834767500747,-0.163062636786784,-0.2716384144637654,-0.15612800600849336,-0.18272981600144594,-0.18189165776000585,2.3519404603322305,1.7319151239076787,-0.039977838318645195,0.9321065854443604,0.8821383964832733,0.6244811033974105,0.6752113368169051,0.7350946358324517,-0.025870534974177337,1.7167126474829242,2.2004023627207365,0.10118607177511436,-0.7460139829843723,-0.5533947367603248
