COM,delta_elec,D_elec_2014,D_elec_2020,pct_voix_exp_2014,pct_voix_exp_2020,Code Nuance 2014,Code Nuance 2020,part_diplome_14,part_diplome_20,delta_pct_diplome,part_cadres_2014,part_cadres_2020,pop2014,pop2020,delta_pop,MED13,MED19
06088,0.0,0.0,0.0,48.62,59.31,LUD,LDVD,0.22714230170162258,0.26520608697965276,0.03806378527803017,0.07274728265840912,0.0801097448551047,343895.00000000006,343476.99999999994,-418.0000000001164,18833.8888888889,20530
06095,0.0,0.0,0.0,44.19,58.1,LDVD,LDIV,0.24434602771618325,0.25965168676166117,0.015305659045477926,0.08433486538977475,0.0803799780781878,8059.999999999996,8211.0,151.00000000000364,22536.0,24350
06118,0.0,0.0,0.0,53.11,42.02,LDIV,LDIV,0.19745547073791347,0.24234688778662364,0.044891417048710164,0.06590330788804072,0.07927963481744767,3930.0,3927.0,-3.0,21471.3333333333,23970
06122,0.0,0.0,0.0,53.98,55.48,LDVD,LDIV,0.2721712200553185,0.3001795741231869,0.02800835406786839,0.10823393713940305,0.08587239459235163,4029.999999999991,4317.0,287.0000000000091,24854.4,26650
06136,0.0,0.0,0.0,51.54,51.75,LDIV,LDIV,0.15871477401177703,0.1940928270042194,0.03537805299244237,0.04482440110641787,0.044831223628691984,3709.0,3792.0,83.0,20046.0,21570
06137,0.0,0.0,0.0,43.06,41.36,LDVD,LNC,0.2877030162412993,0.3058912382815583,0.018188222040258994,0.08043310131477185,0.06460719581135883,1293.0,1171.0,-122.0,23160.5217391304,26600
06140,0.0,0.0,0.0,51.41,40.13,LDVD,LNC,0.22128395371759127,0.25826664182762854,0.03698268811003727,0.06613320054604213,0.06405015434009287,3298.0000000000105,3069.0,-229.00000000001046,23666.6666666667,25270
06155,0.0,0.0,0.0,43.49,35.44,LDVD,LDIV,0.19210588857174055,0.18804830266517103,-0.004057585906569516,0.05815900003344631,0.05767337086740367,26301.999999999996,27970.0,1668.0000000000036,18914.0,20870
06157,0.0,0.0,0.0,45.31,41.71,LDVD,LDIV,0.2769593028581656,0.30153038302543167,0.024571080167266057,0.0883164577449493,0.08860922112364716,18536.0,19315.00000000001,779.0000000000109,21446.1538461538,23530
07341,-1.0,1.0,0.0,37.46,36.6,LDVG,LNC,0.14617728959194934,0.19220607661822986,0.04602878702628052,0.020188090317769976,0.03632760898282695,2927.0,3028.0,101.0,19150.303030303,20340
07346,0.0,0.0,0.0,37.83,47.09,LDVD,LDIV,0.1565115147587156,0.1805290428142896,0.024017528055574,0.028140157728405002,0.05044995909462776,3788.000000000013,3667.0,-121.00000000001319,19121.3043478261,20900
08174,0.0,0.0,0.0,38.8,56.09,LDVD,LNC,0.11512053268827449,0.15322480695257065,0.03810427426429616,0.025701870891989376,0.042019350135090804,2487.0,2293.0,-194.0,19632.6666666667,21900
08363,0.0,0.0,0.0,52.23,56.58,LDVD,LDVD,0.08669905860917097,0.10874745894347854,0.022048400334307564,0.020498026116003643,0.021477948836996413,6586.0,5825.0,-761.0,16253.3333333333,17530
08409,0.0,1.0,1.0,51.34,53.99,LSOC,LDVG,0.10884885083583927,0.13328221784562452,0.024433367009785253,0.030957551529610217,0.031166228290314287,17828.999999999996,16376.000000000013,-1452.9999999999836,15132.0,16570
09157,0.0,0.0,0.0,39.36,49.08,LDIV,LNC,0.0924115316605098,0.11758317528125743,0.025171643620747627,0.015847233653763726,0.02104221197468394,2490.0,2391.0,-99.0,17326.6666666667,18130
09225,0.0,0.0,0.0,46.59,41.39,LDVD,LDVC,0.15088403993553381,0.17329432538350945,0.02241028544797563,0.03822852584612656,0.036910019228555406,15518.000000000004,15937.99999999999,419.99999999998727,17381.1111111111,18700
09261,0.0,1.0,1.0,50.0,43.17,LSOC,LDVG,0.17376851328824855,0.1890280459540633,0.015259532665814757,0.03547174920460782,0.042295168289102104,6283.999999999996,6415.0,131.00000000000364,18371.4285714286,19480
10362,-1.0,1.0,0.0,43.5,38.6,LSOC,LDIV,0.1920845765283615,0.21051434797537918,0.018429771447017684,0.06581053622477197,0.06267445926874395,10133.999999999996,10496.0,362.00000000000364,19348.125,20720
11069,0.0,0.0,0.0,40.42,47.2,LDVD,LDVD,0.18899677327178607,0.21206326371017828,0.023066490438392206,0.04809082174529281,0.0475582550588552,45940.99999999999,46672.999999999985,731.9999999999927,17087.3333333333,18450
11203,-1.0,1.0,0.0,56.25,50.13,LUG,LDVD,0.12410689616801207,0.1382886939401279,0.01418179777211584,0.027548258588018133,0.025746436808736558,11247.999999999996,11112.0,-135.99999999999636,16446.0,18220
11262,0.0,0.0,0.0,45.2,43.57,LDVD,LDVD,0.19492492224137273,0.21203153651525863,0.017106614273885906,0.04685026727975832,0.04823745315832224,52855.0,56123.00000000001,3268.0000000000073,17245.0,18890
11272,-1.0,1.0,0.0,66.53,53.72,LDVG,LNC,0.24568965517241378,0.28772466664784857,0.042035011475434786,0.07112068965517242,0.07017919157041626,2233.0,2496.0,263.0,21923.4782608696,23720
12145,1.0,0.0,1.0,36.61,44.54,LUD,LUG,0.1811648655065591,0.22084980493765546,0.039684939431096355,0.04156824584818156,0.0436858225411003,22064.0,21482.000000000004,-581.9999999999964,18579.1666666667,20010
12202,-1.0,1.0,0.0,48.5,55.17,LUG,LDVC,0.24246152678396543,0.2753748996224787,0.032913372838513255,0.06814564151859585,0.07053161902020003,24088.0,24397.000000000007,309.0000000000073,19889.3333333333,21090
12208,-1.0,1.0,0.0,49.63,45.92,LUG,LLR,0.16175939104930404,0.18587314274662992,0.02411375169732588,0.039347834871710674,0.04350591686362336,8259.999999999987,8018.00000000001,-241.99999999997726,19114.3333333333,20600
13001,0.0,0.0,0.0,52.61,43.53,LUMP,LUD,0.3177577899054345,0.35686890110113123,0.03911111119569671,0.12825508999938814,0.14227511293344342,142149.0,147122.00000000003,4973.000000000029,22152.6666666667,24590
13002,-1.0,1.0,0.0,55.07,59.67,LDVG,LDVD,0.2733988990351829,0.30353562937468354,0.03013673033950065,0.10189556477688251,0.10311761969902176,21480.999999999996,21546.0,65.00000000000364,24463.0434782609,26190
13004,-1.0,1.0,0.0,46.13,57.22,LUG,LDVC,0.17609513157759038,0.20912422521127158,0.0330290936336812,0.04500907207793574,0.048988759864211445,52697.0,50968.0,-1729.0,17464.6666666667,18990
13005,0.0,0.0,0.0,47.49,48.03,LUD,LLR,0.19288718773121802,0.22239908037458267,0.02951189264336465,0.059949211648620354,0.06248071258865902,45127.99999999998,47190.00000000001,2062.000000000029,19568.6666666667,21300
13028,0.0,0.0,0.0,53.0,46.19,LUD,LLR,0.21580754694198753,0.25198136029474005,0.03617381335275252,0.0689514972702703,0.07093579285572914,35631.0,36441.00000000001,810.0000000000073,19966.6666666667,22280
13041,0.0,0.0,0.0,39.7,35.74,LFG,LLR,0.19335038174191038,0.2149718330094237,0.02162145126751333,0.0673132186665312,0.06461994167387909,19909.999999999996,21501.00000000001,1591.0000000000146,20170.7692307692,21820
13046,-1.0,1.0,0.0,53.26,52.73,LDVG,LDVC,0.23530870319861147,0.28869952444344527,0.0533908212448338,0.09571038928837095,0.10649845604885166,4033.0,4281.0,248.0,23140.0,25200
13050,0.0,0.0,0.0,44.9,56.65,LUD,LUD,0.2857346367755039,0.3171291674985027,0.03139453072299875,0.10332662176657806,0.10381313635456178,9459.000000000002,10018.0,558.9999999999982,22480.4444444444,24630
13082,0.0,0.0,0.0,47.62,36.36,LDVD,LDVD,0.2942069514878282,0.34589927586615055,0.05169232437832233,0.132285223032734,0.11844432574506435,4776.999999999984,4616.0,-160.99999999998363,24832.6666666667,27140
13098,0.0,0.0,0.0,43.0,54.37,LDVD,LDVD,0.23678463399392466,0.2568505473933742,0.020065913399449548,0.08724627760104477,0.08897582014836525,5841.000000000002,5818.0,-23.00000000000182,23935.2,25740
13100,0.0,1.0,1.0,50.18,50.05,LDVG,LDVG,0.19332662466153536,0.28313736160101133,0.08981073693947597,0.06089807927966262,0.07782339481600546,9764.999999999996,9692.000000000013,-72.99999999998363,19041.5,21730
