COM;P20_POP;Delta_Cadres;Delta_Diplomes;MED19;MED13
01041;748,0;-1,4259771398531473;2,2927136434003224;22810,0;21861,9047619048
01042;291,0;-9,816356006291326;1,7655280406779497;24570,0;23768,0
01043;4829,0;3,490707832149603;6,862312846336096;28010,0;25327,1333333333
01044;628,0;-2,37682799945702;2,0693761390063585;25780,0;24782,7777777778
01045;285,0;11,989690614124365;6,591870201974277;26530,0;23901,6666666667
01046;912,0;-0,6802683091636128;4,828322354631624;22870,0;20972,5
01047;1269,0;6,413721413721417;4,198617200617512;25410,0;25184,0
01049;3335,0;0,869814244650863;3,6625940684251432;25350,0;24096,4
01050;380,0;-4,166666666666666;4,038039567220061;20770,0;19179,5
01052;332,0;11,255844005184084;2,4703456067191887;26780,0;24708,0
01053;41681,0;0,2687552593296516;2,8944647125254264;19290,0;18088,0
01054;1482,0;2,028603858498286;2,229298226560431;26360,0;24336,6666666667
01056;351,0;9,46395461862101;-0,07203902479332314;20200,0;17727,5
01057;514,0;1,1937006759230382;3,6221868205986567;22460,0;19870,4166666667
01058;819,0;0,8015713634523731;3,4108318672554923;22180,0;19369,4202898551
01060;486,0;4,673250579298249;4,450553242674452;23990,0;21680,4166666667
01061;1133,0;1,819090161043846;-0,3736202319407518;24200,0;22209,4444444444
01062;951,0;-4,386539697443837;1,3484746903976585;27790,0;25964,4444444444
01063;561,0;0,26009906195529986;6,766206256761496;24930,0;23666,0
01064;1095,0;0,10186757215619657;5,211304477269737;22230,0;19868,3333333333
01065;1825,0;2,0866650946859036;2,5143053170311234;25650,0;23388,6956521739
01067;259,0;2,910412334171383;4,888432189003858;23180,0;20545,2173913043
01068;771,0;-2,513306878829896;1,4241456693679346;21270,0;19620,5
01069;1514,0;-1,670639113705323;2,7255426510319225;24070,0;22579,6
01071;5045,0;-1,313775327793163;1,4379754554940334;39170,0;35336,0
01072;3202,0;-1,2129010813552359;1,8536206160988016;24450,0;22138,8
01073;995,0;1,2362756812647717;3,267575096796044;23630,0;21771,25
01074;2574,0;2,3392109648708317;5,17861279092574;22050,0;20882,6086956522
01075;1402,0;-1,1605223991883156;3,900411427073312;23890,0;22893,6
01076;122,0;-6,89655172413793;5,111402359108823;21600,0;18523,0
01077;192,0;-10,208333333333332;11,712328767123324;21620,0;20540,3888888889
01078;1597,0;-0,6041781308914693;3,406849298912128;40710,0;37584,6666666667
01079;822,0;4,678760399341409;7,1431223701723425;21380,0;20196,0
01080;636,0;-3,246347996856648;-2,0310426220601023;22060,0;21273,5714285714
01081;726,0;-0,913833902130494;4,212847177970044;25310,0;23068,0
01082;637,0;-1,298940752053121;-0,29504522351561135;25150,0;22664,7619047619
01083;965,0;4,188746291490151;2,448403419588889;23920,0;22154,0
01084;921,0;3,820289855072464;4,168749085299254;22320,0;21323,8888888889
01085;397,0;-0,6702590952956609;4,601085690573438;24350,0;22413,8095238095
01087;279,0;7,82867647778116;2,9261804212658227;24460,0;22476,0
01088;902,0;1,1411470759482487;4,4043758348415025;27040,0;24434,0
01089;2254,0;0,2107732531670825;5,154232372398901;23440,0;21614,1785714286
01090;361,0;-3,17709201920533;6,103696423065312;22780,0;20505,0
01092;1622,0;1,8326753481612288;4,853240906370992;24440,0;22144,6666666667
01093;4968,0;-0,756211623800306;2,3929921404518986;21990,0;20118,0
01094;761,0;-1,7586405888607333;2,16377562040676;22180,0;20397,9166666667
01095;843,0;0,758370067244595;2,416181224352293;21550,0;19968,2926829268
01096;1033,0;2,928700209454198;3,2207857769205503;21890,0;21338,6666666667
01098;1175,0;-4,368307235799452;0,10529118784002378;21250,0;20725,3333333333
01099;1590,0;-0,9565548314589556;1,9812024845877865;24930,0;23512,5
01100;131,0;0,3952569169960487;2,3923444976076578;20970,0;19231,1111111111
01101;152,0;13,687600644122382;11,666666666666664;27470,0;22004,5
