COM;P20_POP;Delta_Cadres;Delta_Diplomes;MED19;MED13;Score_Gauche_Ecolo_2020;Score_Bloc_Gauche_2014
01275;2596,0;0,5772877848393048;5,680979739481209;29160,0;26940,5555555556;0,0;0,0
01276;1627,0;0,6209619473366956;4,298178651329152;26110,0;23438,7380952381;0,0;0,0
01281;4591,0;-1,3698795691565913;2,6602449797937737;36440,0;33760,0;0,0;48,17767653758543
01283;22270,999999999985;-0,0381281817221035;1,91042452569846;17510,0;16590,0;0,0;17,398258397014395
01285;1334,0;-2,626012853004257;4,707886198862539;28340,0;25576,8;0,0;0,0
01289;6460,0;0,0928346298540967;2,5106038756813653;23350,0;21632,0;0,0;35,39468897781011
01290;1309,0;5,2054800917271145;15,04202056640568;26260,0;25161,3333333333;0,0;39,430284857571216
01301;2606,0;0,3356994569443632;2,7450158355481946;23680,0;22285,2;0,0;0,0
01303;1696,0;0,4531704216050238;1,940280314927456;21520,0;18981,3333333333;0,0;0,0
01305;2195,0;-0,2177250884601869;1,068648641601257;19700,0;18112,0;0,0;0,0
01306;1637,0;-1,7174526015378024;2,09731386768064;20300,0;18463,8333333333;0,0;0,0
01313;8948,0;1,8480980980980917;2,1965090413089285;41270,0;35836,1538461538;0,0;45,62798092209857
01314;1725,0;5,897801591231575;4,331361784726482;23320,0;21861,6666666667;0,0;0,0
01320;3833,0;0,7992994016247099;3,838355415942665;23510,0;21846,6666666667;0,0;0,0
01322;5050,0;-1,0234500616480575;4,232214511719462;27390,0;25531,3333333333;0,0;54,66254507985574
01333;3366,0;-1,899674073859785;5,651376126706566;25260,0;23963,3333333333;0,0;38,21782178217822
01336;1187,0;0,5297197412996599;4,706292162534869;22710,0;20927,3913043478;0,0;100,0
01337;1336,0;-2,6606099852590903;2,2841738553563147;22080,0;20760,0;0,0;100,0
01338;1245,0;-2,762403248473838;3,129060720529772;21900,0;20271,6666666667;0,0;0,0
01339;1484,0;6,097228543527985;5,548972760991973;31160,0;27522,8571428571;0,0;0,0
01343;1822,0;-0,2675179126576221;2,0169818820843837;22600,0;21008,6666666667;0,0;0,0
