COM;ratio_cadres_20;P20_POP;ratio_cadres_14;P14_POP;ratio_sup_20;ratio_sup_14;MED19;MED13
01078;13,671875;1597,0;14,27605313089147;1377,0000000000057;40,103270223752155;36,69642092484003;40710,0;37584,6666666667
01079;7,59846842853849;822,0;2,9197080291970803;821,0;26,518122370172343;19,375;21380,0;20196,0
01080;0,0;636,0;3,246347996856648;669,0000000000008;24,549624423226547;26,58066704528665;22060,0;21273,5714285714
01081;1,6029446213594387;726,0;2,5167785234899327;730,0;28,057579155788897;23,844731977818853;25310,0;23068,0
01082;6,153747261561109;637,0;7,45268801361423;647,999999999999;30,354305425835037;30,649350649350648;25150,0;22664,7619047619
01083;9,373931476675336;965,0;5,185185185185185;864,0;27,99357475915275;25,54517133956386;23920,0;22154,0
01084;9,420289855072465;921,0;5,6000000000000005;780,0;29,39346811819596;25,224719032896704;22320,0;21323,8888888889
01085;5,996407571371006;397,0;6,666666666666667;379,0;33,07083658025316;28,46975088967972;24350,0;22413,8095238095
01087;20,32867647778116;279,0;12,499999999999998;283,999999999999;34,058255892963935;31,132075471698112;24460,0;22476,0
01088;12,37109360001242;902,0;11,229946524064172;930,999999999996;36,67782575535025;32,273449920508746;27040,0;24434,0
01089;6,662386156392889;2254,0;6,451612903225806;1999,0;27,806562121502843;22,65232974910394;23440,0;21614,1785714286
01090;1,7734030302996207;361,0;4,9504950495049505;332,0;28,59365626242274;22,48995983935743;22780,0;20505,0
01092;9,202729653824534;1622,0;7,370054305663305;1568,0;30,445226334421992;25,591985428051;24440,0;22144,6666666667
01093;5,276549946431351;4968,0;6,032761570231657;4956,0;21,251986605366188;18,85899446491429;21990,0;20118,0
01094;3,7969149666948234;761,0;5,555555555555556;746,0000000000006;19,53123448695155;17,36745886654479;22180,0;20397,9166666667
01095;6,880819046836432;843,0;6,122448979591837;648,0;29,9430629447824;27,526881720430108;21550,0;19968,2926829268
01096;5,506019797083064;1033,0;2,5773195876288657;993,0000000000016;23,704427313193662;20,483641536273115;21890,0;21338,6666666667
01098;2,9044200369278217;1175,0;7,272727272727273;849,999999999997;20,008903935734537;19,903612747894513;21250,0;20725,3333333333
01099;12,45136186770428;1590,0;13,407916699163236;1530,0;30,467445742904843;28,486243258317057;24930,0;23512,5
