Code commune,Libellé de la commune,N.Pan.,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,winner
35238,Rennes,9.0,LUG,F,APPÉRÉ,Nathalie,Pour rennes avec Nathalie Appéré,51.0,0.0,41.0,23352.0,20.03,65.35,yes
35238,Rennes,5.0,LDVD,M,COMPAGNON,Charles,CHARLES COMPAGNON 2020 - LIBRES D'AGIR POUR RENNES,5.0,0.0,4.0,6130.0,5.26,17.16,no
35240,Le Rheu,3.0,LDVG,M,BOULOUX,Mickaël,LE RHEU DEMAIN,22.0,0.0,2.0,1278.0,22.0,51.33,yes
35240,Le Rheu,2.0,LDVC,M,L'HOSTIS,Alain,LE RHEU NOUVEAU CITOYEN,7.0,0.0,0.0,1212.0,20.86,48.67,no
35288,Saint-Malo,7.0,LDVD,M,LURTON,Gilles,Saint-Malo Notre lien,37.0,0.0,26.0,10676.0,28.09,70.7,yes
35288,Saint-Malo,4.0,LDVC,F,LE GAGNE,Anne,SAINT-MALO AU COEUR DES POSSIBLES,6.0,0.0,4.0,4424.0,11.64,29.3,no
36018,Le Blanc,5.0,LDVG,M,CHANTEGUET,Jean-Paul,Rassemblement Citoyen,5.0,0.0,2.0,851.0,18.34,38.44,no
36018,Le Blanc,3.0,LDVC,M,LHERPINIERE,Gilles,LE BLANC VILLE D'AVENIR,24.0,0.0,11.0,1363.0,29.37,61.56,yes
36093,Levroux,3.0,LNC,M,COUSIN,Nicolas,Ambitions pour Levroux,6.0,0.0,3.0,739.0,33.3,49.3,no
36093,Levroux,1.0,LNC,M,ROUSSEAU-JOUHENNET,Alexis,CROIRE EN LEVROUX,21.0,0.0,9.0,760.0,34.25,50.7,yes
36200,Saint-Marcel,3.0,LNC,F,LASSERRE,Françoise,LES PITOLATS RASSEMBLÉS POUR DEMAIN,4.0,0.0,1.0,352.0,26.65,45.36,no
36200,Saint-Marcel,1.0,LNC,M,MARTIN,Jean-Paul,Saint-Marcel à venir,15.0,0.0,2.0,424.0,32.1,54.64,yes
37003,Amboise,2.0,LVEC,F,GUICHARD,Sandra,Amboise 2020 Réinventons Demain,3.0,0.0,1.0,721.0,8.22,19.49,no
37003,Amboise,1.0,LUD,M,BOUTARD,Thierry,Ensemble agissons pour Amboise,24.0,0.0,12.0,1511.0,17.23,40.84,yes
37003,Amboise,3.0,LSOC,M,RAVIER,Brice,Pluralisme et solidarité,6.0,0.0,3.0,1468.0,16.74,39.68,no
37054,Chanceaux-sur-Choisille,2.0,LDVD,M,DELETANG,Patrick,UNIS POUR L'AVENIR,5.0,0.0,0.0,562.0,20.03,42.13,no
37054,Chanceaux-sur-Choisille,3.0,LDVD,M,DAVIET,Gérard,ENSEMBLE,20.0,0.0,2.0,564.0,20.1,42.28,yes
37054,Chanceaux-sur-Choisille,1.0,LEXG,M,ETESSE,Patrick,LISTE D'UNITÉ POUR DÉFENDRE NOTRE COMMUNE ET LA DÉMOCRATIE,2.0,0.0,0.0,208.0,7.41,15.59,no
37063,Château-Renault,1.0,LLR,F,DUPUIS,Brigitte,S'engager pour agir à Château-Renault,24.0,0.0,8.0,1138.0,31.07,56.87,yes
37063,Château-Renault,2.0,LDVG,M,BOUMARAF,Nordine,"Notre ville, notre avenir Château-Renault un nouveau défi",5.0,0.0,2.0,744.0,20.31,37.18,no
37063,Château-Renault,3.0,LDVD,M,LEROY,Lucas,"Renaudins, vivement demain",0.0,0.0,0.0,119.0,3.25,5.95,no
37072,Chinon,3.0,LDVG,M,BAUMEL,Laurent,CHINON C'EST VOUS,6.0,0.0,3.0,1307.0,20.8,45.62,no
37072,Chinon,4.0,LDVD,M,DUPONT,Jean-Luc,L'UNION POUR CHINON,23.0,0.0,11.0,1558.0,24.79,54.38,yes
37123,Langeais,1.0,LDVG,M,PIRES,Abel,LANGEAIS C'EST VOUS!,1.0,0.0,0.0,202.0,6.22,10.09,no
37123,Langeais,3.0,LSOC,M,ROIRON,Pierre-Alain,NOTRE FORCE C'EST LANGEAIS,22.0,0.0,6.0,951.0,29.28,47.5,yes
37123,Langeais,2.0,LLR,M,PHILIPPON,Benjamin,AVEC VOUS POUR LANGEAIS,6.0,0.0,1.0,849.0,26.14,42.41,no
37233,Saint-Pierre-des-Corps,4.0,LSOC,M,JEANNEAU,Cyrille,J'AIME SAINT PIERRE DES CORPS,2.0,0.0,0.0,651.0,6.07,15.14,no
37233,Saint-Pierre-des-Corps,3.0,LECO,M,LEFEVRE,François,AGIR ENSEMBLE-Transition écologique et citoyenne,1.0,0.0,0.0,416.0,3.88,9.67,no
37233,Saint-Pierre-des-Corps,5.0,LCOM,M,SOULAS,Michel,SOLIDAIRE ECOLOGIQUE PARTICIPATIVE SAINT PIERRE DES CORPS A GAUCHES TOUTE !,6.0,0.0,1.0,1497.0,13.97,34.81,no
37233,Saint-Pierre-des-Corps,6.0,LDVD,M,FRANCOIS,Emmanuel,SAINT PIERRE AUTREMENT,24.0,0.0,3.0,1736.0,16.2,40.37,yes
37241,Savigné-sur-Lathan,3.0,LNC,M,BRUN,Hugues,SAVIGNÉ HORIZON 2026,12.0,0.0,2.0,286.0,27.98,50.44,yes
37241,Savigné-sur-Lathan,1.0,LNC,M,LAMOUREUX,Nicolas,SAVIGNÉ NOUS ATTEND,1.0,0.0,0.0,108.0,10.57,19.05,no
37241,Savigné-sur-Lathan,2.0,LNC,M,GOUTARD,Frédéric,"ENSEMBLE, DYNAMISONS SAVIGNÉ",2.0,0.0,0.0,173.0,16.93,30.51,no
37261,Tours,10.0,LDVC,M,BOUCHET,Christophe,TOURS NOUS RASSEMBLE,12.0,0.0,9.0,11872.0,14.92,45.06,no
37261,Tours,6.0,LUG,M,DENIS,Emmanuel,Pour demain Tours 2020,43.0,0.0,29.0,14476.0,18.19,54.94,yes
38001,Les Abrets en Dauphiné,4.0,LDVC,M,BOUCLY,François,BIEN VIVRE AUX ABRETS EN DAUPHINÉ,4.0,0.0,1.0,429.0,9.64,23.71,no
38001,Les Abrets en Dauphiné,5.0,LDVC,F,CHUZEL-MARMOT,Claire,ALLIANCE DES 3 COMMUNES,3.0,0.0,0.0,328.0,7.37,18.13,no
38001,Les Abrets en Dauphiné,3.0,LDVC,M,GASTALDELLO,Benjamin,ENSEMBLE BÂTISSONS L'AVENIR DE NOTRE COMMUNE,26.0,0.0,5.0,1052.0,23.63,58.15,yes
38006,Allevard,3.0,LDVD,F,KOHLY,Martine,ALLEVARD ENSEMBLE,4.0,0.0,1.0,593.0,19.25,34.18,no
38006,Allevard,2.0,LDIV,M,REBBOAH,Sidney,Allevard coeur de Belledonne,19.0,0.0,2.0,651.0,21.14,37.52,yes
38006,Allevard,1.0,LDVG,M,MOLLARD,Jean-Luc,ALLEVARD ACTION CITOYENNE,4.0,0.0,0.0,491.0,15.94,28.3,no
