Code commune,Libellé de la commune,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,winner
59614,Viesly,LDVG,M,WUILBAUT,Jean-Louis,DEMAIN VIESLY,1,0.0,0.0,140.0,12.37,16.17,no
59614,Viesly,LUDI,M,BESIN,Guy,ENSEMBLE POUR LE RENOUVEAU DE VIESLY,11,0.0,2.0,397.0,35.07,45.84,yes
59614,Viesly,LDVD,M,MAHY,Jean-Claude,CONSTRUIRE L'AVENIR ENSEMBLE,3,0.0,1.0,329.0,29.06,37.99,no
59616,Vieux-Condé,LDVG,M,BUSTIN,Guy,POUR CONSTRUIRE ENSEMBLE,25,0.0,3.0,2456.0,31.81,52.19,yes
59616,Vieux-Condé,LCOM,M,VAN DER HOEVEN,Serge,VIEUX-CONDE PASSIONNEMENT,8,0.0,1.0,2250.0,29.15,47.81,no
59646,Wasquehal,LDVD,F,DUCRET,Stéphanie,WASQUEHAL POUR TOUS,24,0.0,2.0,3764.0,25.06,42.17,yes
59646,Wasquehal,LUD,M,VIGNOBLE,Gérard,LISTE D'OUVERTURE POUR L'AVENIR DE WASQUEHAL,4,0.0,0.0,2127.0,14.16,23.83,no
59646,Wasquehal,LFN,M,SALMON,Alexis,WASQUEHAL BLEU MARINE,1,0.0,0.0,883.0,5.88,9.89,no
59646,Wasquehal,LDIV,F,FRIGOUT,Marijan,PASSION WASQUEHAL AUTREMENT,4,0.0,0.0,2151.0,14.32,24.1,no
59653,Wavrin,LUG,M,MENEGATTI,Romuald,Wavrin atout coeur,6,0.0,0.0,1552.0,26.74,42.35,no
59653,Wavrin,LDVD,M,BLONDEAU,Alain,UNION POUR LE CHANGEMENT,22,0.0,1.0,1681.0,28.97,45.87,yes
59653,Wavrin,LDVD,M,LEMOINE,Jean-Luc,AGIR ENSEMBLE POUR WAVRIN,1,0.0,0.0,432.0,7.44,11.79,no
59654,Waziers,LUG,M,MICHON,Jacques,ENSEMBLE POUR AGIR : L'HUMAIN D'ABORD,22,0.0,2.0,1651.0,33.74,51.42,yes
59654,Waziers,LDVG,M,DESMONS,Laurent,VIE A WAZIERS - SAVOIR POUR CHOISIR,7,0.0,0.0,1560.0,31.88,48.58,no
59659,Wignehies,LDVG,M,BAUDIN,Jean-Marc,"WIGNEHIES, UNIS DANS LA SÉRÉNITÉ",5,0.0,1.0,642.0,29.44,44.46,no
59659,Wignehies,LDVD,F,CESAR,Dominique,WIGNEHIES CAP 2020,18,0.0,4.0,802.0,36.77,55.54,yes
60044,Balagny-sur-Thérain,LDIV,F,GUILLOU,Marie-Odile,VOS INTÉRÊTS AU  COEUR DE NOS PROJETS,12,0.0,2.0,405.0,34.35,50.12,yes
60044,Balagny-sur-Thérain,LDIV,M,CORNELIE,Patrick,LISTE ALTERNATIVE CITOYENNE,3,0.0,0.0,403.0,34.18,49.88,no
60057,Beauvais,LUMP,F,CAYEUX,Caroline,beauvais pour tous,36,0.0,28.0,10802.0,31.96,57.24,yes
60057,Beauvais,LSOC,M,VIGUIER,Thibaud,UTILE POUR BEAUVAIS AVEC THIBAUD VIGUIER,6,0.0,5.0,5083.0,15.04,26.94,no
60057,Beauvais,LFN,F,ITALIANI,Florence,BEAUVAIS BLEU MARINE,3,0.0,3.0,2985.0,8.83,15.82,no
60065,Berthecourt,LDIV,F,BADIN,Marine,ENSEMBLE POUR BERTHECOURT,14,0.0,2.0,353.0,31.27,41.29,yes
60065,Berthecourt,LDIV,M,ZITOUNI,Dominique,AGIR POUR BERTHECOURT,3,0.0,0.0,301.0,26.66,35.2,no
60065,Berthecourt,LDIV,F,DUMONT,Valérie,"berthecourt, ensemble pour demain",2,0.0,0.0,201.0,17.8,23.51,no
60129,Carlepont,LDIV,M,ROSIER,Joël,BIEN VIVRE ENSEMBLE,2,0.0,1.0,229.0,19.52,32.34,no
60129,Carlepont,LDIV,M,ARGIER,Patrice,LISTE DE RASSEMBLEMENT POUR CARLEPONT,12,0.0,2.0,378.0,32.23,53.39,yes
60129,Carlepont,LDIV,M,DEBOUT,Joël,CARLEPONT AUTREMENT,1,0.0,0.0,101.0,8.61,14.27,no
60139,Chambly,LUD,M,ORVEILLON,Pierre,"UNE VILLE, UNE ÉQUIPE, UN PROJET, CHAMBLY 2014-2020",3,0.0,1.0,804.0,12.32,22.52,no
60139,Chambly,LSOC,M,LAZARUS,David,"CHAMBLY : HIER, AUJOURD'HUI ET DEMAIN",22,0.0,8.0,1811.0,27.75,50.73,yes
60139,Chambly,LDIV,M,BOIS,Pascal,ENSEMBLE POUR CHAMBLY,4,0.0,1.0,955.0,14.63,26.75,no
60142,La Chapelle-en-Serval,LDIV,M,HERENT,Dominique,Tous unis pour notre village,1,0.0,0.0,155.0,8.1,11.53,no
60142,La Chapelle-en-Serval,LUMP,M,DRAY,Daniel,"la Chapelle, un nouveau Cap !",17,0.0,2.0,574.0,29.99,42.71,yes
60142,La Chapelle-en-Serval,LDIV,F,PINCÉ,Annick,DYNAMIQUE CAPELLOISE,2,0.0,0.0,238.0,12.43,17.71,no
60142,La Chapelle-en-Serval,LDVD,M,ESPERCIEUX,Philippe,Continuons à Bâtir Ensemble,3,0.0,1.0,377.0,19.7,28.05,no
60154,Cinqueux,LDIV,M,VANDENBERGHE,Bernard,ENSEMBLE POUR NOTRE VILLAGE,3,0.0,0.0,301.0,23.87,34.05,no
60154,Cinqueux,LDIV,M,BARBILLON,Philippe,CINQUEUX c'est vous !,14,0.0,2.0,384.0,30.45,43.44,yes
60154,Cinqueux,LDIV,M,LELEU,Raymond,MIEUX VIVRE A CINQUEUX,2,0.0,0.0,199.0,15.78,22.51,no
60155,Cires-lès-Mello,LDVD,F,BASQUIN,Béatrice,UNE REELLE DYNAMIQUE AU SERVICE DES CIROIS,20,0.0,6.0,637.0,27.68,43.19,yes
60155,Cires-lès-Mello,LDVD,M,GUERINET,Alain,ENSEMBLE UNE VOLONTÉ COMMUNE,5,0.0,1.0,583.0,25.34,39.53,no
60155,Cires-lès-Mello,LPG,F,MLYNARCZYK,Barbara,"Espace citoyen, vivre autrement Cires/Tillet",2,0.0,0.0,255.0,11.08,17.29,no
60157,Clermont,LSOC,M,OLLIVIER,Lionel,"Clermont 2014, Ensemble avec audace et sincérité",26,0.0,9.0,1943.0,29.72,55.06,yes
60157,Clermont,LUDI,M,DELCROIX,Johan,TOUS ENSEMBLE POUR CLERMONT,2,0.0,1.0,551.0,8.43,15.61,no
60157,Clermont,LUMP,M,POULAIN,Jean-Luc,"CLERMONT, C'EST AVEC VOUS",5,0.0,2.0,1035.0,15.83,29.33,no
60175,Creil,LUMP,M,SERTAIN,Michaël,"Ensemble, défendons une certaine idée de Creil",5,0.0,2.0,2238.0,14.23,25.65,no
60175,Creil,LSOC,M,VILLEMAIN,Jean-Claude,CREIL UNE AMBITION PARTAGEE,28,0.0,13.0,3492.0,22.21,40.02,yes
60175,Creil,LDVG,M,BOULHAMANE,Hicham,Génération Creil,6,0.0,3.0,2995.0,19.05,34.33,no
60176,Crépy-en-Valois,LSOC,M,FURET,Jérôme,LE MEILLEUR POUR CREPY,3,0.0,1.0,1055.0,9.99,16.1,no
60176,Crépy-en-Valois,LFN,M,LETOURNEUR,Jean-Paul,CREPY-EN-VALOIS BLEU MARINE,2,0.0,0.0,813.0,7.7,12.41,no
60176,Crépy-en-Valois,LUMP,M,FOUBERT,Arnaud,AVEC ARNAUD FOUBERT CREPY AVANCE,4,0.0,1.0,1561.0,14.78,23.83,no
60176,Crépy-en-Valois,LDIV,M,FORTIER,Bruno,A CREPY EN VALOIS NOTRE PARTI C'EST VOUS,23,0.0,6.0,2453.0,23.22,37.44,yes
60176,Crépy-en-Valois,LDIV,M,HOULLIER,Michel,EN AVANT POUR CREPY EN VALOIS,1,0.0,0.0,669.0,6.33,10.21,no
60181,Crisolles,LDIV,M,GOMES,Joachim,CRISOLLES POUR L'AVENIR,0,0.0,0.0,58.0,7.97,11.01,no
60181,Crisolles,LDIV,F,LALANNE-KESTEMAN,Annie,REUSSIR CRISOLLES ENSEMBLE,3,0.0,0.0,234.0,32.14,44.4,no
60181,Crisolles,LDIV,M,DELANEF,Gérard,Ensemble Réanimons Crisolles,12,0.0,2.0,235.0,32.28,44.59,yes
60338,Lacroix-Saint-Ouen,LDIV,M,GUÉRIN,David,"La Croix Saint-Ouen, une vision partagée",3,0.0,1.0,591.0,17.57,26.47,no
60338,Lacroix-Saint-Ouen,LDIV,M,GAILLARD,Didier,Réussir la Mutation Urbaine de la Croix-Saint-Ouen,3,0.0,0.0,515.0,15.31,23.06,no
60338,Lacroix-Saint-Ouen,LDVD,M,DESESSART,Jean,LA CROIX SAINT OUEN notre VILLE,21,0.0,2.0,1127.0,33.5,50.47,yes
60342,Laigneville,LDVG,M,DELAPORTE,Jean-Marie,LAIGNEVILLE L'AVENIR ENSEMBLE,5,0.0,1.0,758.0,25.76,38.48,no
60342,Laigneville,LDIV,M,SOISSON,Luc,EN AVANT POUR LAIGNEVILLE,0,0.0,0.0,68.0,2.31,3.45,no
60342,Laigneville,LDIV,M,DIETRICH,Christophe,BIEN VIVRE A LAIGNEVILLE,22,0.0,5.0,1144.0,38.89,58.07,yes
60346,Lamorlaye,LDVG,F,JEAN,Lucienne,LISTE D'ACTION MUNICIPALE DE GAUCHE LAMORLAYE AUTREMENT,1,0.0,0.0,352.0,5.11,8.93,no
60346,Lamorlaye,LDVD,F,LADURELLE,Nicole,Lamorlaye Forte et Sereine,21,0.0,4.0,1654.0,24.03,41.96,yes
60346,Lamorlaye,LUDI,M,DRUMONT,Eric,LAMORLAYE AVENIR,1,0.0,0.0,401.0,5.83,10.17,no
60346,Lamorlaye,LUMP,M,GARNIER,Didier,UN PROJET POUR LAMORLAYE,6,0.0,1.0,1535.0,22.3,38.94,no
60395,Méru,LSOC,M,DE DEROY,Hervé,Réussir ensemble Méru,6,0.0,2.0,1471.0,19.83,36.62,no
60395,Méru,LDVD,F,RAVIER,Nathalie,LISTE TOUS UNIS POUR MERU,27,0.0,8.0,2546.0,34.33,63.38,yes
60439,Mouy,LCOM,M,PARIS,William,"MOUY, UNE VILLE POUR TOUS !",1,0.0,0.0,186.0,5.1,8.49,no
60439,Mouy,LSOC,F,DELAFONTAINE,Anne-Claire,Pour Mouy : Une Ambition Partagée,20,0.0,4.0,801.0,21.95,36.56,yes
60439,Mouy,LFN,M,FOUCHARD,André,MOUY BLEU MARINE,3,0.0,0.0,443.0,12.14,20.22,no
60439,Mouy,LUMP,M,FOUQUIER,Jean-Pierre,"MOUY, Une Nouvelle Donne",5,0.0,1.0,761.0,20.85,34.73,no
60446,Nanteuil-le-Haudouin,LUMP,M,SELLIER,Gilles,NOUS UNIR POUR L'AVENIR,18,0.0,3.0,935.0,36.94,56.84,yes
60446,Nanteuil-le-Haudouin,LSOC,M,COFFIN,Philippe,PASSIONNANTEUIL,5,0.0,1.0,710.0,28.05,43.16,no
60462,Noailles,LDIV,M,CHAIMOVITCH,Stéphane,noailles pour tous,4,0.0,1.0,408.0,19.46,32.33,no
60462,Noailles,LDIV,M,VILLENEUVE,Bernard,NOAILLES UNE VILLE QUI BOUGE !,2,0.0,0.0,273.0,13.02,21.63,no
60462,Noailles,LDIV,M,BIBERON,Benoît,UNIS POUR NOAILLES - REUSSIR ENSEMBLE,17,0.0,2.0,581.0,27.71,46.04,yes
60471,Noyon,LFN,M,GUINIOT,Michel,NOYON BLEU MARINE,3,0.0,2.0,926.0,11.92,19.56,no
60471,Noyon,LSOC,M,DEGUISE,Patrick,NOYON EN MOUVEMENT AVEC PATRICK DEGUISE,24,0.0,16.0,2006.0,25.83,42.38,yes
60471,Noyon,LUMP,M,DEGUISE,Gérard,POUR MA VILLE,6,0.0,4.0,1801.0,23.19,38.05,no
60500,Le Plessis-Belleville,LDVG,M,REANT,Jean-Marie,LE PLESSIS BELLEVIE,2,0.0,0.0,263.0,10.86,19.25,no
60500,Le Plessis-Belleville,LDIV,M,SMAGUINE,Dominique,ENSEMBLE POUR LE PLESSIS BELLEVILLE,17,0.0,3.0,574.0,23.71,42.02,yes
60500,Le Plessis-Belleville,LDIV,M,MASSAU,Hubert,Un Nouveau Cap pour Le Plessis Belleville,4,0.0,1.0,529.0,21.85,38.73,no
60509,Pont-Sainte-Maxence,LFN,M,ROSSIGNOL,Reynald,PONT BLEU MARINE,4,0.0,1.0,1106.0,14.24,23.71,no
60509,Pont-Sainte-Maxence,LUMP,M,DUMONTIER,Arnaud,PSM 2014,23,0.0,9.0,1828.0,23.54,39.19,yes
60509,Pont-Sainte-Maxence,LUG,M,DELMAS,Michel,Poursuivre ensemble la transformation de Pont-Sainte-Maxence,6,0.0,2.0,1730.0,22.28,37.09,no
